"","Date","Ring","Species","Age","Sex","Pit","Num.caught","PIT.year","hatch.year","Age.in.2021"
"1",2019-11-13,"C3T0918","GRETI",6,"M","01001786C5",1,2019,2017,"adult"
"4",2016-10-22,"C3L9818","NUTHA",2,"F","010799F8DC",2,2016,2016,"adult"
"5",2016-11-17,"C3L9818","NUTHA",2,"F","010799F8DC",2,2016,2016,"adult"
"8",2017-02-03,"C3T0118","GRETI",6,"F","010799F947",1,2017,2015,"adult"
"10",2018-05-15,"C3T0227","GRETI",6,"F","0110170C37",1,2018,2016,"adult"
"11",2017-12-01,"C3T0265","GRETI",3,"F","0110175B4D",2,2017,2017,"adult"
"12",2018-08-16,"C3T0265","GRETI",4,"F","0110175B4D",2,2018,2017,"adult"
"14",2019-09-19,"C3T0861","GRETI",4,"M","0110175BD7",4,2019,2018,"adult"
"15",2019-10-11,"C3T0861","GRETI",3,"M","0110175BD7",4,2019,2019,"adult"
"16",2020-11-10,"C3T0861","GRETI",4,"M","0110175BD7",4,2020,2019,"adult"
"17",2018-01-10,"B4R7271","MARTI",5,"U","0110175BDC",1,2018,2017,"adult"
"19",2019-02-27,"C3T0362","GRETI",5,"M","0110175C6B",3,2019,2018,"adult"
"20",2019-07-10,"C3T0362","GRETI",4,"M","0110175C6B",3,2019,2018,"adult"
"21",2017-12-01,"C3T0276","GRETI",3,"M","0110175D00",1,2017,2017,"adult"
"23",2019-07-10,"C3T0866","GRETI",3,"","0110175E30",3,2019,2019,"adult"
"24",2019-11-13,"C3T0866","GRETI",6,"M","0110175E30",3,2019,2017,"adult"
"25",2019-01-14,"C3T0708","GRETI",6,"M","0110175E32",1,2019,2017,"adult"
"26",2018-07-12,"C3T0103","NUTHA",4,"F","0110175E33",3,2018,2017,"adult"
"27",2018-10-25,"C3T0103","NUTHA",6,"M","0110175E33",3,2018,2016,"adult"
"28",2019-02-14,"C3T0103","NUTHA",6,"M","0110175E33",3,2019,2017,"adult"
"29",2017-11-29,"C3T0261","GRETI",3,"M","0110175EC0",2,2017,2017,"adult"
"30",2017-12-09,"C3T0261","GRETI",3,"M","0110175EC0",2,2017,2017,"adult"
"31",2018-01-10,"C3T0326","GRETI",5,"M","0110175EC4",1,2018,2017,"adult"
"32",2017-01-29,"CL41359","GRETI",6,"M","0110175EC8",1,2017,2015,"adult"
"33",2016-11-22,"C3T0079","GRETI",4,"F","0110175F69",1,2016,2015,"adult"
"34",2019-03-08,"C3T0804","GRETI",5,"F","0110176007",1,2019,2018,"adult"
"35",2019-11-27,"B4R7637","BLUTI",5,"F","0110176099",1,2019,2018,"adult"
"36",2018-01-10,"B4R7274","BLUTI",5,"F","011017609F",1,2018,2017,"adult"
"38",2018-10-31,"C3T0667","GRETI",5,"F","0110176143",2,2018,2017,"adult"
"39",2019-02-27,"C3T0667","GRETI",5,"F","0110176143",2,2019,2018,"adult"
"40",2018-12-13,"C3T0682","GRETI",5,"M","0110176144",3,2018,2017,"adult"
"41",2019-02-25,"C3T0682","GRETI",6,"M","0110176144",3,2019,2017,"adult"
"42",2020-02-10,"C3T0682","GRETI",6,"M","0110176144",3,2020,2018,"adult"
"43",2017-12-01,"C3T0154","GRETI",3,"F","011017627C",1,2017,2017,"adult"
"44",2018-01-25,"C3T0348","GRETI",6,"F","01101763D3",1,2018,2016,"adult"
"49",2019-07-25,"C3T0922","GRETI",3,"","0110176514",2,2019,2019,"adult"
"50",2019-01-10,"C3T0700","GRETI",5,"M","011017651C",1,2019,2018,"adult"
"51",2019-02-22,"C3T0783","GRETI",5,"M","0110176520",3,2019,2018,"adult"
"52",2019-03-07,"C3T0783","GRETI",5,"M","0110176520",3,2019,2018,"adult"
"53",2019-10-23,"C3T0783","GRETI",6,"M","0110176520",3,2019,2017,"adult"
"56",2016-11-23,"C3T0002","GRETI",3,"M","01101765BB",3,2016,2016,"adult"
"57",2016-11-24,"C3T0002","GRETI",3,"M","01101765BB",3,2016,2016,"adult"
"58",2018-05-22,"C3T0002","GRETI",5,"M","01101765BB",3,2018,2017,"adult"
"59",2017-02-04,"C3L9897","GRETI",5,"M","01101765BE",1,2017,2016,"adult"
"64",2019-05-11,"C3T0835","GRETI",5,"F","0110176664",2,2019,2018,"adult"
"65",2019-11-13,"C3T0835","GRETI",6,"F","0110176664",2,2019,2017,"adult"
"68",2019-01-10,"C3T0701","GRETI",5,"F","0110176677",1,2019,2018,"adult"
"70",2017-12-01,"C3T0274","GRETI",3,"M","0110176719",2,2017,2017,"adult"
"71",2017-12-09,"C3T0274","GRETI",3,"M","0110176719",2,2017,2017,"adult"
"72",2019-05-17,"C3T0934","GRETI",6,"F","01101767BF",1,2019,2017,"adult"
"73",2019-01-18,"C3T0735","GRETI",5,"F","01101767CC",1,2019,2018,"adult"
"76",2019-07-10,"C3T0910","GRETI",3,"","011017686F",2,2019,2019,"adult"
"77",2017-01-29,"C3T0110","GRETI",5,"M","0110176878",1,2017,2016,"adult"
"79",2019-09-04,"B4R7576","BLUTI",4,"F","011017691B",2,2019,2018,"adult"
"80",2020-05-08,"B4R7576","BLUTI",6,"F","011017691B",2,2020,2018,"adult"
"82",2018-05-09,"C3T0353","GRETI",5,"M","0110176923",1,2018,2017,"adult"
"84",2019-01-16,"C3T0717","GRETI",5,"M","0110176928",1,2019,2018,"adult"
"85",2017-01-29,"C3T0109","GRETI",5,"F","0110176938",2,2017,2016,"adult"
"86",2017-12-01,"C3T0109","GRETI",4,"F","0110176938",2,2017,2016,"adult"
"87",2018-05-15,"C3T0355","GRETI",5,"M","01101769C5",1,2018,2017,"adult"
"88",2018-01-21,"C3T0330","GRETI",5,"F","01101769CF",3,2018,2017,"adult"
"89",2018-07-09,"C3T0330","GRETI",4,"","01101769CF",3,2018,2017,"adult"
"90",2018-10-05,"C3T0330","GRETI",6,"F","01101769CF",3,2018,2016,"adult"
"91",2017-05-04,"CX22198","GRETI",6,"M","01101769D0",1,2017,2015,"adult"
"92",2017-05-04,"C3T0140","GRETI",5,"M","01101769E9",1,2017,2016,"adult"
"93",2019-01-18,"C3T0731","GRETI",5,"M","0110176A78",1,2019,2018,"adult"
"94",2017-02-11,"C3T0123","GRETI",5,"F","0110176A80",2,2017,2016,"adult"
"95",2017-12-09,"C3T0123","GRETI",4,"F","0110176A80",2,2017,2016,"adult"
"96",2018-05-15,"C3T0405","GRETI",5,"F","0110176A83",1,2018,2017,"adult"
"97",2018-10-18,"B4R7414","BLUTI",5,"","0110176A84",1,2018,2017,"adult"
"98",2018-05-17,"B4R7311","BLUTI",6,"","0110176A8C",1,2018,2016,"adult"
"102",2017-12-01,"C3T0162","GRETI",3,"F","0110176AA8",3,2017,2017,"adult"
"103",2017-12-09,"C3T0162","GRETI",3,"F","0110176AA8",3,2017,2017,"adult"
"105",2019-02-19,"C3T0768","GRETI",5,"F","0110176B32",1,2019,2018,"adult"
"106",2017-12-01,"C3T0270","GRETI",3,"F","0110176B40",1,2017,2017,"adult"
"107",2017-11-08,"C3T0225","GRETI",3,"F","0110176B54",1,2017,2017,"adult"
"108",2019-01-18,"C3T0733","GRETI",5,"F","0110176BD9",1,2019,2018,"adult"
"109",2017-12-09,"C3T0286","GRETI",3,"M","0110176BDC",4,2017,2017,"adult"
"110",2018-01-09,"C3T0286","GRETI",5,"M","0110176BDC",4,2018,2017,"adult"
"111",2018-01-10,"C3T0286","GRETI",5,"M","0110176BDC",4,2018,2017,"adult"
"112",2018-01-10,"C3T0286","GRETI",5,"M","0110176BDC",4,2018,2017,"adult"
"113",2019-01-10,"C3T0693","GRETI",5,"F","0110176BE4",1,2019,2018,"adult"
"114",2017-12-01,"C3T0272","GRETI",3,"F","0110176BE5",2,2017,2017,"adult"
"115",2018-01-09,"C3T0272","GRETI",6,"F","0110176BE5",2,2018,2016,"adult"
"118",2019-02-12,"C3T0752","GRETI",5,"F","0110176C8B",1,2019,2018,"adult"
"120",2019-01-10,"C3T0699","GRETI",6,"M","0110176C9C",1,2019,2017,"adult"
"121",2019-02-12,"C3T0756","GRETI",5,"F","0110176CA4",1,2019,2018,"adult"
"122",2017-02-04,"C3L9869","GRETI",5,"F","0110176CA6",1,2017,2016,"adult"
"124",2017-05-15,"C2V1203","GRETI",6,"F","0110176CAA",1,2017,2015,"adult"
"125",2016-11-24,"C3T0059","GRETI",3,"M","0110176CAB",4,2016,2016,"adult"
"126",2017-02-11,"C3T0059","GRETI",5,"M","0110176CAB",4,2017,2016,"adult"
"127",2017-11-24,"C3T0059","GRETI",4,"M","0110176CAB",4,2017,2016,"adult"
"128",2018-09-06,"C3T0059","GRETI",4,"M","0110176CAB",4,2018,2017,"adult"
"130",2018-07-12,"C3T0460","GRETI",3,"","0110176CAF",4,2018,2018,"adult"
"131",2019-01-12,"C3T0460","GRETI",5,"M","0110176CAF",4,2019,2018,"adult"
"132",2019-10-30,"C3T0460","GRETI",6,"M","0110176CAF",4,2019,2017,"adult"
"133",2016-11-23,"C3T0088","GRETI",3,"M","0110176D3E",2,2016,2016,"adult"
"134",2017-02-11,"C3T0088","GRETI",5,"M","0110176D3E",2,2017,2016,"adult"
"136",2019-01-10,"C3T0689","GRETI",5,"F","0110176D4A",1,2019,2018,"adult"
"139",2017-01-29,"C3T0107","GRETI",5,"F","0110176D80",1,2017,2016,"adult"
"140",2017-05-04,"C3T0139","GRETI",5,"F","0110176D8F",2,2017,2016,"adult"
"141",2018-05-14,"C3T0139","GRETI",6,"F","0110176D8F",2,2018,2016,"adult"
"142",2016-11-23,"C3T0084","GRETI",4,"M","0110176D9A",3,2016,2015,"adult"
"143",2018-05-14,"C3T0084","GRETI",6,"M","0110176D9A",3,2018,2016,"adult"
"144",2018-10-25,"C3T0084","GRETI",6,"M","0110176D9A",3,2018,2016,"adult"
"145",2017-11-24,"C3T0241","GRETI",3,"M","0110176DA2",2,2017,2017,"adult"
"146",2017-12-01,"C3T0241","GRETI",3,"M","0110176DA2",2,2017,2017,"adult"
"147",2020-11-10,"B4A1862","BLUTI",3,"F","0110176DF1",1,2020,2020,"first.year"
"148",2018-08-03,"C3T0585","GRETI",3,"","0110176DFA",1,2018,2018,"adult"
"152",2018-01-21,"C3T0335","GRETI",5,"F","0110176E79",1,2018,2017,"adult"
"153",2017-02-11,"C3T0089","GRETI",5,"M","0110176E88",2,2017,2016,"adult"
"154",2019-07-10,"C3T0089","GRETI",4,"M","0110176E88",2,2019,2018,"adult"
"155",2016-11-23,"C3T0089","GRETI",3,"M","0110176E8B",3,2016,2016,"adult"
"156",2016-11-24,"C3T0089","GRETI",3,"M","0110176E8B",3,2016,2016,"adult"
"157",2017-12-09,"C3T0089","GRETI",4,"M","0110176E8B",3,2017,2016,"adult"
"160",2019-01-10,"C3T0697","GRETI",5,"F","0110176EA9",1,2019,2018,"adult"
"161",2019-07-10,"C3T0847","GRETI",3,"","0110176EAD",1,2019,2019,"adult"
"162",2017-11-29,"C3T0262","GRETI",3,"M","0110176EAF",2,2017,2017,"adult"
"165",2019-12-02,"C3T0937","GRETI",5,"F","0110176EB3",2,2019,2018,"adult"
"168",2018-01-25,"C3T0350","GRETI",5,"F","0110176EC1",1,2018,2017,"adult"
"170",2017-11-24,"C3H0623","NUTHA",2,"F","0110176F30",1,2017,2017,"adult"
"171",2017-05-12,"B4P6962","BLUTI",6,"M","0110176F61",5,2017,2015,"adult"
"172",2017-12-09,"B4P6962","BLUTI",4,"M","0110176F61",5,2017,2016,"adult"
"173",2018-05-17,"B4P6962","BLUTI",6,"","0110176F61",5,2018,2016,"adult"
"174",2018-07-09,"B4P6962","BLUTI",4,"M","0110176F61",5,2018,2017,"adult"
"175",2019-03-08,"B4P6962","BLUTI",6,"M","0110176F61",5,2019,2017,"adult"
"177",2018-08-03,"C3T0501","GRETI",3,"","0110176F71",2,2018,2018,"adult"
"178",2019-01-10,"C3T0691","GRETI",5,"F","0110176F73",1,2019,2018,"adult"
"180",2019-02-21,"C3T0429","GRETI",5,"M","0110176F74",2,2019,2018,"adult"
"183",2016-11-23,"C3T0092","GRETI",4,"M","0110176FC0",3,2016,2015,"adult"
"184",2016-11-24,"C3T0092","GRETI",3,"M","0110176FC0",3,2016,2016,"adult"
"185",2017-12-09,"C3T0092","GRETI",4,"M","0110176FC0",3,2017,2016,"adult"
"186",2016-11-22,"C1T5018","GRETI",4,"F","0110176FD2",1,2016,2015,"adult"
"188",2019-02-21,"C3T0167","GRETI",6,"F","0110176FF8",3,2019,2017,"adult"
"189",2019-02-21,"C3T0167","GRETI",6,"F","0110176FF8",3,2019,2017,"adult"
"190",2018-09-06,"C3T0557","GRETI",3,"","0110176SB6",1,2018,2018,"adult"
"191",2019-02-19,"C3T0764","GRETI",5,"F","0110177013",1,2019,2018,"adult"
"192",2017-12-09,"C3T0302","GRETI",4,"F","011017701A",1,2017,2016,"adult"
"193",2016-11-23,"C3T0035","GRETI",3,"F","0110177027",2,2016,2016,"adult"
"194",2017-01-29,"C3T0035","GRETI",5,"F","0110177027",2,2017,2016,"adult"
"195",2016-11-25,"C3T0005","GRETI",3,"M","011017704E",3,2016,2016,"adult"
"196",2018-05-11,"C3T0005","GRETI",6,"M","011017704E",3,2018,2016,"adult"
"197",2018-07-12,"C3T0005","GRETI",4,"M","011017704E",3,2018,2017,"adult"
"198",2017-11-29,"C3T0244","NUTHA",2,"M","011017708E",1,2017,2017,"adult"
"199",2016-11-25,"C3T0102","GRETI",4,"M","011017709D",1,2016,2015,"adult"
"201",2020-02-19,"B4R7718","BLUTI",6,"F","01101770D7",1,2020,2018,"adult"
"204",2019-01-18,"C3T0726","GRETI",5,"F","01101770E2",1,2019,2018,"adult"
"206",2017-12-09,"C3T0168","GRETI",3,"M","01101770F7",2,2017,2017,"adult"
"208",2017-11-14,"C3T0198","GRETI",3,"M","011017711E",3,2017,2017,"adult"
"209",2017-12-09,"C3T0198","GRETI",4,"M","011017711E",3,2017,2016,"adult"
"210",2018-07-12,"C3T0575","GRETI",3,"","0110177122",7,2018,2018,"adult"
"211",2018-08-16,"C3T0575","GRETI",3,"F","0110177122",7,2018,2018,"adult"
"212",2018-10-05,"C3T0575","GRETI",5,"F","0110177122",7,2018,2017,"adult"
"213",2018-10-18,"C3T0575","GRETI",5,"F","0110177122",7,2018,2017,"adult"
"214",2019-11-25,"C3T0575","GRETI",6,"F","0110177122",7,2019,2017,"adult"
"217",2017-12-01,"C3T0268","GRETI",3,"M","011017712C",1,2017,2017,"adult"
"219",2018-07-27,"C3T0423","GRETI",3,"","0110177142",2,2018,2018,"adult"
"221",2016-11-23,"C3T0096","GRETI",3,"M","011017716B",1,2016,2016,"adult"
"223",2017-11-29,"C3T0250","GRETI",4,"M","0110177188",2,2017,2016,"adult"
"224",2018-01-09,"C3T0250","GRETI",6,"M","0110177188",2,2018,2016,"adult"
"226",2019-03-08,"B4R7456","BLUTI",6,"F","011017719D",1,2019,2017,"adult"
"227",2016-11-17,"C3T0075","GRETI",4,"F","01101771AF",1,2016,2015,"adult"
"228",2016-11-22,"C3T0078","GRETI",4,"F","01101771B2",1,2016,2015,"adult"
"233",2017-12-09,"B4R7258","BLUTI",4,"M","0110177255",1,2017,2016,"adult"
"234",2017-11-08,"C3T0223","GRETI",3,"F","0110177277",3,2017,2017,"adult"
"235",2017-12-09,"C3T0223","GRETI",3,"F","0110177277",3,2017,2017,"adult"
"236",2018-01-10,"C3T0223","GRETI",5,"F","0110177277",3,2018,2017,"adult"
"239",2017-12-09,"C3T0304","GRETI",3,"F","01101772AC",1,2017,2017,"adult"
"240",2016-11-23,"C3T0008","GRETI",3,"F","01101772C2",1,2016,2016,"adult"
"241",2016-11-23,"C3T0086","GRETI",3,"M","01101772E1",2,2016,2016,"adult"
"242",2017-11-23,"C3T0086","GRETI",4,"M","01101772E1",2,2017,2016,"adult"
"244",2019-01-28,"C3T0743","GRETI",5,"F","01101772FC",1,2019,2018,"adult"
"246",2018-10-05,"C3T0633","GRETI",5,"F","0110177303",1,2018,2017,"adult"
"249",2017-12-09,"C2R2664","GRETI",4,"M","011017732A",1,2017,2016,"adult"
"250",2017-02-04,"C3T0119","GRETI",5,"M","011017733C",1,2017,2016,"adult"
"251",2017-01-15,"C3L0404","GRETI",6,"M","011017738A",2,2017,2015,"adult"
"252",2018-05-17,"C3L0404","GRETI",6,"F","011017738A",2,2018,2016,"adult"
"253",2017-11-24,"C3T0242","GRETI",3,"M","011017738B",1,2017,2017,"adult"
"254",2017-12-01,"C3T0267","GRETI",3,"F","01101773AF",1,2017,2017,"adult"
"255",2019-10-28,"B4R7596","BLUTI",6,"F","01101773B9",1,2019,2017,"adult"
"256",2019-10-28,"BNR47593","BLUTI",5,"M","01101773BF",1,2019,2018,"adult"
"257",2017-11-23,"C3T0230","GRETI",3,"F","01101773FF",2,2017,2017,"adult"
"258",2017-12-09,"C3T0230","GRETI",3,"F","01101773FF",2,2017,2017,"adult"
"261",2018-01-09,"C310321","GRETI",5,"F","0110177470",1,2018,2017,"adult"
"264",2018-01-09,"C3T0324","GRETI",5,"F","0110177480",1,2018,2017,"adult"
"265",2016-11-23,"C3T0085","GRETI",3,"M","0110177484",1,2016,2016,"adult"
"267",2018-09-06,"C3T0615","GRETI",3,"","01101774D3",1,2018,2018,"adult"
"270",2019-02-21,"C3T0502","GRETI",5,"M","0110177508",2,2019,2018,"adult"
"272",2018-06-19,"C3T0550","GRETI",6,"F","0110177535",1,2018,2016,"adult"
"274",2016-11-17,"C3T0071","GRETI",3,"M","0110177589",2,2016,2016,"adult"
"275",2018-01-25,"C3T0071","GRETI",6,"M","0110177589",2,2018,2016,"adult"
"276",2018-06-19,"C3T0071","GRETI",6,"M","0110177598",1,2018,2016,"adult"
"277",2017-11-23,"C3T0231","NUTHA",2,"F","01101775B5",2,2017,2017,"adult"
"278",2017-11-29,"C3T0231","NUTHA",2,"F","01101775B5",2,2017,2017,"adult"
"279",2018-07-12,"C3T0572","GRETI",3,"","01101775DD",4,2018,2018,"adult"
"280",2018-10-31,"C3T0572","GRETI",5,"F","01101775DD",4,2018,2017,"adult"
"281",2018-12-13,"C3T0572","GRETI",5,"F","01101775DD",4,2018,2017,"adult"
"282",2019-05-09,"C3T0572","GRETI",5,"F","01101775DD",4,2019,2018,"adult"
"283",2020-05-05,"B4R7903","BLUTI",6,"M","01101775DE",1,2020,2018,"adult"
"285",2018-07-12,"C3T0573","GRETI",3,"","01101775E5",3,2018,2018,"adult"
"286",2018-09-21,"C3T0573","GRETI",3,"F","01101775E5",3,2018,2018,"adult"
"287",2020-11-27,"C3T0573","GRETI",4,"F","01101775E5",3,2020,2019,"adult"
"289",2018-05-16,"B4R7298","BLUTI",6,"M","01101775EA",1,2018,2016,"adult"
"290",2018-07-12,"C3T0567","GRETI",3,"","01101775EE",1,2018,2018,"adult"
"292",2016-11-23,"C3T0094","GRETI",4,"M","011017761A",2,2016,2015,"adult"
"293",2017-11-23,"C3T0094","GRETI",4,"M","011017761A",2,2017,2016,"adult"
"296",2016-10-22,"C3L9827","GRETI",3,"M","0110177678",1,2016,2016,"adult"
"302",2019-05-13,"C3T0854","GRETI",6,"M","01101776AB",2,2019,2017,"adult"
"304",2017-02-04,"C3L9837","GRETI",5,"M","01101776D4",1,2017,2016,"adult"
"305",2017-02-03,"C3T0114","GRETI",5,"F","01101776EB",3,2017,2016,"adult"
"306",2017-05-08,"C3T0114","GRETI",5,"F","01101776EB",3,2017,2016,"adult"
"307",2017-11-08,"C3T0114","GRETI",4,"F","01101776EB",3,2017,2016,"adult"
"308",2017-01-13,"C3T0106","GRETI",5,"F","01101776EF",1,2017,2016,"adult"
"310",2017-11-29,"C3T0188","GRETI",3,"M","0110177715",3,2017,2017,"adult"
"311",2018-01-10,"C3T0188","GRETI",5,"M","0110177715",3,2018,2017,"adult"
"313",2017-02-03,"C3T0116","GRETI",5,"M","011017772D",1,2017,2016,"adult"
"315",2018-08-16,"C3T0609","NUTHA",3,"M","011017775D",1,2018,2018,"adult"
"317",2017-01-29,"C3L9853","GRETI",5,"F","0110177773",1,2017,2016,"adult"
"318",2018-07-12,"C3T0139","GRETI",4,"F","011017779B",4,2018,2017,"adult"
"319",2018-11-07,"C3T0139","GRETI",6,"F","011017779B",4,2018,2016,"adult"
"320",2019-05-11,"C3T0139","GRETI",6,"F","011017779B",4,2019,2017,"adult"
"321",2019-11-13,"C3T0139","GRETI",6,"M","011017779B",4,2019,2017,"adult"
"324",2019-12-31,"B4R7699","BLUTI",5,"M","011017780A",1,2019,2018,"adult"
"325",2017-12-09,"C3T0310","GRETI",3,"M","0110177813",1,2017,2017,"adult"
"326",2019-02-19,"C3T0767","GRETI",5,"F","0110177818",1,2019,2018,"adult"
"327",2019-02-21,"C3T0773","GRETI",5,"F","0110177819",1,2019,2018,"adult"
"329",2018-12-13,"C3T0445","GRETI",5,"M","011017781F",3,2018,2017,"adult"
"330",2019-02-22,"C3T0445","GRETI",5,"M","011017781F",3,2019,2018,"adult"
"333",2017-12-09,"C3T0136","GRETI",4,"M","0110177823",3,2017,2016,"adult"
"334",2019-12-31,"C3T0136","GRETI",6,"M","0110177823",3,2019,2017,"adult"
"337",2017-11-23,"C3T0130","NUTHA",2,"M","011017787D",2,2017,2017,"adult"
"340",2018-01-21,"C3T0187","GRETI",5,"M","0110177889",4,2018,2017,"adult"
"341",2018-08-03,"C3T0187","GRETI",4,"M","0110177889",4,2018,2017,"adult"
"342",2019-05-04,"C3T0187","GRETI",6,"M","0110177889",4,2019,2017,"adult"
"343",2017-11-24,"C3L9851","GRETI",4,"F","011017789A",2,2017,2016,"adult"
"344",2018-12-13,"C3L9851","GRETI",6,"F","011017789A",2,2018,2016,"adult"
"348",2018-07-12,"C3T0397","GRETI",3,"","01101778D1",2,2018,2018,"adult"
"349",2019-02-05,"C3T0748","GRETI",6,"M","01101778FE",1,2019,2017,"adult"
"350",2017-02-07,"C3T0121","NUTHA",2,"F","01101778FF",1,2017,2017,"adult"
"351",2017-12-09,"C3T0303","GRETI",3,"M","0110177950",1,2017,2017,"adult"
"352",2017-11-14,"C3T0229","GRETI",3,"M","011017795C",1,2017,2017,"adult"
"353",2018-10-05,"B4R7412","BLUTI",5,"F","0110177961",6,2018,2017,"adult"
"354",2018-11-07,"B4R7412","BLUTI",5,"F","0110177961",6,2018,2017,"adult"
"356",2019-11-13,"B4R7412","BLUTI",6,"F","0110177961",6,2019,2017,"adult"
"357",2019-12-31,"B4R7412","BLUTI",6,"","0110177961",6,2019,2017,"adult"
"358",2020-12-04,"B4R7412","BLUTI",4,"M","0110177961",6,2020,2019,"adult"
"360",2018-08-03,"C3T0453","GRETI",3,"","011017797C",5,2018,2018,"adult"
"361",2018-10-31,"C3T0453","GRETI",5,"M","011017797C",5,2018,2017,"adult"
"362",2019-02-27,"C3T0453","GRETI",5,"M","011017797C",5,2019,2018,"adult"
"363",2019-03-11,"C3T0453","GRETI",5,"M","011017797C",5,2019,2018,"adult"
"364",2017-11-29,"C3T0254","GRETI",3,"M","0110177983",3,2017,2017,"adult"
"365",2017-12-01,"C3T0254","GRETI",4,"M","0110177983",3,2017,2016,"adult"
"366",2017-12-09,"C3T0254","GRETI",3,"M","0110177983",3,2017,2017,"adult"
"368",2019-11-27,"B4R7639","BLUTI",5,"M","0110177995",1,2019,2018,"adult"
"369",2018-01-21,"C3T0336","GRETI",6,"F","011017799E",1,2018,2016,"adult"
"371",2017-11-23,"C3T0204","GRETI",4,"M","01101779AA",4,2017,2016,"adult"
"372",2019-03-08,"C3T0204","GRETI",6,"M","01101779AA",4,2019,2017,"adult"
"373",2019-12-19,"C3T0204","GRETI",6,"M","01101779AA",4,2019,2017,"adult"
"374",2016-11-23,"C3T0091","GRETI",3,"M","0110177A03",4,2016,2016,"adult"
"375",2017-01-29,"C3T0091","GRETI",5,"M","0110177A03",4,2017,2016,"adult"
"376",2017-12-09,"C3T0091","GRETI",4,"M","0110177A03",4,2017,2016,"adult"
"377",2018-05-04,"C3T0091","GRETI",6,"M","0110177A03",4,2018,2016,"adult"
"378",2016-11-22,"C3T0081","GRETI",4,"M","0110177A13",3,2016,2015,"adult"
"379",2018-05-16,"C3T0081","GRETI",6,"M","0110177A13",3,2018,2016,"adult"
"380",2018-07-12,"C3T0081","GRETI",4,"M","0110177A13",3,2018,2017,"adult"
"385",2017-11-24,"C3T0238","GRETI",3,"M","0110177A4B",6,2017,2017,"adult"
"386",2017-12-01,"C3T0238","GRETI",3,"M","0110177A4B",6,2017,2017,"adult"
"387",2018-05-15,"C3T0238","GRETI",5,"M","0110177A4B",6,2018,2017,"adult"
"388",2018-06-20,"C3T0238","GRETI",5,"M","0110177A4B",6,2018,2017,"adult"
"389",2018-09-21,"C3T0238","GRETI",4,"M","0110177A4B",6,2018,2017,"adult"
"390",2019-02-27,"C3T0238","GRETI",6,"M","0110177A4B",6,2019,2017,"adult"
"392",2017-02-04,"C3T0054","GRETI",5,"M","0110177A80",2,2017,2016,"adult"
"393",2017-12-09,"C3T0054","GRETI",4,"F","0110177A80",2,2017,2016,"adult"
"394",2016-11-23,"C3T0024","GRETI",3,"F","0110177AB0",1,2016,2016,"adult"
"396",2019-07-10,"C3T0865","GRETI",3,"","0110177ACE",2,2019,2019,"adult"
"398",2019-10-16,"B4R7579","BLUTI",6,"M","0110177AE3",1,2019,2017,"adult"
"401",2019-02-21,"C3T0777","GRETI",5,"F","0110177AF3",1,2019,2018,"adult"
"402",2018-07-09,"C3T0561","NUTHA",3,"F","0110177AFA",4,2018,2018,"adult"
"404",2018-08-10,"C3T0561","NUTHA",3,"","0110177AFA",4,2018,2018,"adult"
"405",2018-08-16,"C3T0561","NUTHA",3,"F","0110177AFA",4,2018,2018,"adult"
"406",2020-11-30,"B5H0121","BLUTI",4,"M","0110177B08",1,2020,2019,"adult"
"408",2017-11-08,"C3T0137","GRETI",3,"M","0110177B56",4,2017,2017,"adult"
"409",2018-05-22,"C3T0137","GRETI",5,"M","0110177B56",4,2018,2017,"adult"
"410",2019-02-21,"C3T0137","GRETI",6,"M","0110177B56",4,2019,2017,"adult"
"412",2016-11-17,"C3T0073","GRETI",3,"F","0110177B80",1,2016,2016,"adult"
"415",2019-03-05,"C3T0795","GRETI",5,"F","0110177BA2",1,2019,2018,"adult"
"417",2017-12-01,"C3T0277","GRETI",4,"F","0110177BB3",1,2017,2016,"adult"
"418",2017-12-09,"C3L9871","GRETI",4,"F","0110177BBC",3,2017,2016,"adult"
"419",2018-01-21,"C3L9871","GRETI",6,"F","0110177BBC",3,2018,2016,"adult"
"420",2018-05-14,"C3L9871","GRETI",6,"F","0110177BBC",3,2018,2016,"adult"
"421",2017-11-29,"C3T0248","GRETI",3,"F","0110177BBF",2,2017,2017,"adult"
"422",2017-12-09,"C3T0248","GRETI",3,"F","0110177BBF",2,2017,2017,"adult"
"423",2019-03-06,"C3T0799","GRETI",5,"M","0110177BC0",2,2019,2018,"adult"
"424",2019-07-31,"C3T0799","GRETI",4,"M","0110177BC0",2,2019,2018,"adult"
"425",2016-11-24,"C3T0097","GRETI",4,"M","0110177BCD",2,2016,2015,"adult"
"426",2017-12-09,"C3T0097","GRETI",4,"M","0110177BCD",2,2017,2016,"adult"
"427",2016-11-17,"C3T0072","GRETI",4,"M","0110177BD3",4,2016,2015,"adult"
"428",2018-01-21,"C3T0072","GRETI",6,"M","0110177BD3",4,2018,2016,"adult"
"429",2018-08-16,"C3T0072","GRETI",4,"M","0110177BD3",4,2018,2017,"adult"
"430",2019-05-09,"C3T0072","GRETI",6,"M","0110177BD3",4,2019,2017,"adult"
"431",2016-11-04,"C3T0068","NUTHA",2,"F","0110177BE2",4,2016,2016,"adult"
"432",2017-02-04,"C3T0068","NUTHA",3,"F","0110177BE2",4,2017,2017,"adult"
"433",2017-11-14,"C3T0068","NUTHA",2,"F","0110177BE2",4,2017,2017,"adult"
