"","Date","Ring","Species","Age","Sex","Pit","Num.caught","PIT.year","hatch.year","Age.in.2021"
"3697",2020-12-04,"B4R7941","BLUTI",3,"F","0700EDF93E",1,2020,2020,"first.year"
"3698",2019-11-04,"C5A1235","GRETI",5,"M","0700EDF9AE",1,2019,2018,"adult"
"3701",2020-12-04,"C5A1796","GRETI",3,"F","0700EDF9BF",2,2020,2020,"first.year"
"3703",2019-10-23,"C5A1134","GRETI",6,"M","0700EDF9EA",1,2019,2017,"adult"
"3704",2020-11-06,"C5H4173","GRETI",3,"F","0700EDFA0A",1,2020,2020,"first.year"
"3705",2019-11-06,"C5A1252","GRETI",6,"M","0700EDFA0D",1,2019,2017,"adult"
"3706",2020-12-02,"B5H0127","BLUTI",3,"M","0700EDFA11",1,2020,2020,"first.year"
"3708",2020-10-22,"C5H4241","GRETI",3,"F","0700EDFA43",2,2020,2020,"first.year"
"3712",2020-12-04,"C5A1744","GRETI",3,"M","0700EDFA52",2,2020,2020,"first.year"
"3715",2020-01-17,"C5A1623","GRETI",5,"F","0700EDFA5D",1,2020,2019,"adult"
"3717",2019-07-31,"C5A1044","GRETI",3,"","0700EDFA6B",1,2019,2019,"adult"
"3718",2019-10-25,"C5A1153","NUTHA",6,"F","0700EDFAA5",1,2019,2017,"adult"
"3719",2020-12-04,"B4R7939","BLUTI",3,"M","0700EDFABA",3,2020,2020,"first.year"
"3724",2020-10-28,"C5H4257","GRETI",3,"F","0700EDFAE8",3,2020,2020,"first.year"
"3725",2020-11-11,"C5H4257","GRETI",3,"F","0700EDFAE8",3,2020,2020,"first.year"
"3726",2020-11-17,"C5H4257","GRETI",3,"F","0700EDFAE8",3,2020,2020,"first.year"
"3731",2020-12-11,"B4R7946","BLUTI",3,"M","0700EDFBF8",1,2020,2020,"first.year"
"3733",2019-11-18,"C5A1349","GRETI",6,"M","0700EDFC1E",1,2019,2017,"adult"
